=== OK (:diff present) === 25
=== HARDCODED nums, no :diff (need fix) === 59
  3 ぜーろっ
    KEY: HYPNOSISCREATOR-WAIT_A_BIT_MORE
 89 マシュマロ回答
    UG: 呪いカード1枚を手札に追加する。
    DESC: ランダムな呪いカード2枚を手札に追加する。相手が攻撃を予定している場合、ブロック39に上書きし沼2を付与する。
    KEY: HYPNOSISCREATOR-MARSHMALLOW_ANSWER
 91 首輪と調教
    UG: すでに相手が引き寄せられている場合、ランダムな2枚のDomSubコマンドカードを手札に加える。さらに破滅15を付与して
    DESC: 相手を引き寄せる。すでに相手が引き寄せられている場合、破滅15を付与してDomSub性癖に目覚めさせる。
    KEY: HYPNOSISCREATOR-COLLAR_TRAINING
 92 催眠導入
    UG: 3枚カードを引く
    DESC: 2枚カードを引く。同名のカードを同じ相手にプレイするたび、引く枚数が1少なくなる。（現在N枚引く）
    KEY: HYPNOSISCREATOR-HYPNOSIS_INTRO
 94 底なしの沼
    UG: 破滅を15付与する。
    DESC: ターン終了時、トランスと沼の数値1につき、破滅を10付与する。
    KEY: HYPNOSISCREATOR-BOTTOMLESS_BOG
 95 術式の開示
    UG: 0コストになる
    DESC: 催眠系カウントカードを山札からランダムに2枚、手札に加える。1枚は相手の性癖に合致するカードが優先して選ばれる。
    KEY: HYPNOSISCREATOR-RITUAL_REVEAL
 96 鼓動の共有
    UG: すべてに共有する。
    DESC: 保有している心臓レリックから得た効果を味方プレイヤー1人に共有する。
    KEY: HYPNOSISCREATOR-HEARTBEAT_SHARE
 97 性癖パーリナイ
    UG: 3枚になる
    DESC: 味方プレイヤーすべての手札にランダムな性癖カード2枚を加える。
    KEY: HYPNOSISCREATOR-FETISH_PARTY
 98 フリーハグ<3
    UG: 破滅15になる。
    DESC: 相手を引き寄せる。すでに相手が引き寄せられている場合、破滅10と沼1を与え、ランダムな味方に2枚パスする。
    KEY: HYPNOSISCREATOR-FREE_HUG
103 防御
    UG: 8ブロック
    DESC: 5ブロックを得る。
    KEY: HYPNOSISCREATOR-HC_DEFEND
104 剥き出しの本能
    UG: 2枚に
    DESC: ターン開始時、手札のランダムなアタック1枚に「本能」をエンチャントする。
    KEY: HYPNOSISCREATOR-BARE_INSTINCT
=== KW/text UG without :diff (review) === 20
  1 完全掌握
    UG: 廃棄が消える
    DESC: トランス3以上の対象にのみプレイできる。このターン、すべての攻撃ダメージを肩代わりさせる。アップグレードで廃棄が消える。
  2 呼吸制御
    UG: 保留がつく
    DESC: このターン、カードをプレイするたび相手は筋力1を失う。相手の攻撃値が0点になった時、スタンする。
 11 アブノーマル
    UG: ランダムなアップグレード済みの他色アブノーマルカードに
    DESC: X枚まで手札のカードをランダムな他色アブノーマルカードに変化させ、このターン、コストなしでプレイできる。
 12 調和
    UG: 廃棄が消える
    DESC: 相手の攻撃と同値のブロックを得る。
 13 不意打ち催眠
    UG: 1コストになる
    DESC: 敵の数だけドローする。引いたカードをランダムな相手にプレイする。
 14 集団催眠
    UG: 天賦。
    DESC: 催眠系カウントカードの対象が相手すべてになる。
 18 状態異常催眠
    UG: 天賦。
    DESC: トランス状態の相手に、状態異常と呪いカードをプレイできるようになる。
 19 指パッチン
    UG: 保留。
    DESC: トランス1。破滅5を付与する。
 22 ミラーリング
    UG: 廃棄が消える
    DESC: 相手の攻撃予定と同じ攻撃を行う。
 38 深呼吸
    UG: 廃棄がなくなる
    DESC: カードを1枚引く。次のターンエナジー1を得る。
 40 感覚共有
    UG: 0コスト
    DESC: このターン中、単体へのアタックカードは全体が対象になる。
 50 練達
    UG: 1コストになる
    DESC: プレイした催眠系カウントカードすべてを戦闘終了後にアップグレードする。
 58 Come!
    UG: UGなし
    DESC: おいで。対象を引き寄せ、DomSub性癖に目覚めさせる。
 82 ぜんぶ知ってるよ
    UG: 天賦。
    DESC: 性癖を刺した時の効果が2倍になる。
 83 オールインワン催眠
    UG: 廃棄されたものも含め、すべての催眠系カウントカードを対象にプレイする。
    DESC: カウント。すべての催眠系カウントカードを対象にプレイする。トランス1。
 84 エリクソン的誘導
    UG: 0コスト
    DESC: 相手の性癖を刺した時、手札のカードのカウントがひとつ進む。
 86 心臓への渇望
    UG: すべての心臓レリックが再使用可能状態になる。
    DESC: 保有しているすべての心臓レリックがこの戦闘中、再使用可能状態になる。
 93 過集中
    UG: 廃棄が消える
    DESC: 手札にあるスキルカード1枚につき、エナジー1を得る。
100 受容の需要
    UG: 1コストになる
    DESC: ダメージを受けた回数分、次のターンにエナジーを得てカードを引く。
102 アンコール
    UG: 0コスト
    DESC: プレイした催眠系カウントカードは、コストが初期値にリセットされて手札に戻る。
=== missing title in loc === 0
